X,Y,Z,Anomaly
855432.5785736842,987835.1151157895,2505.933415421579,-4.514913812177841
854341.2627842106,987887.2203789474,2730.105937076316,-6.724852552651515
854242.0522578948,988095.641431579,2449.890285007895,-5.438242317947241
855333.3680473685,987835.1151157895,2561.976545835263,-5.0525485806971
855333.3680473685,987730.9045894737,2533.9549806284213,-4.8652361110080165
854539.6838368422,988095.641431579,2393.8471545942107,-4.098811375841088
854043.6312052632,988147.7466947369,2561.976545835263,-6.545621185506653
854242.0522578948,988356.1677473685,2561.976545835263,-6.295917597840949
855333.3680473685,988512.4835368422,2589.9981110421054,-4.468674495399738
854341.2627842106,988251.9572210526,2646.0412414557895,-6.998490021269149
854539.6838368422,987574.5888,2421.868719801053,-4.660866233353661
854738.1048894738,988043.536168421,2505.933415421579,-5.895655018740654
854837.3154157895,988043.536168421,2646.0412414557895,-6.897430794537717
854440.4733105263,987626.6940631579,2449.890285007895,-5.35458999337861
855234.1575210526,988460.3782736842,2505.933415421579,-4.520289250121711
854341.2627842106,987730.9045894737,2674.062806662632,-6.404721151327295
854539.6838368422,988304.0624842106,2646.0412414557895,-7.029620476329751
855035.7364684211,987887.2203789474,2449.890285007895,-4.603578545762472
854142.841731579,988512.4835368422,2477.911850214737,-5.58012334358069
855234.1575210526,988251.9572210526,2533.9549806284213,-5.764243752773314
854539.6838368422,988095.641431579,2505.933415421579,-5.845576737750961
854142.841731579,988304.0624842106,2393.8471545942107,-4.46058356367816
855432.5785736842,988304.0624842106,2533.9549806284213,-4.770325734749324
854936.5259421053,987887.2203789474,2561.976545835263,-6.31127918942965
854440.4733105263,988512.4835368422,2618.0196762489477,-6.522921418107113
855134.9469947369,987574.5888,2589.9981110421054,-4.047981520126054
855234.1575210526,987939.3256421053,2589.9981110421054,-5.933103580960566
855035.7364684211,988043.536168421,2505.933415421579,-5.541212535672387
854936.5259421053,988251.9572210526,2449.890285007895,-4.4886368636273986
854242.0522578948,987678.7993263159,2421.868719801053,-5.2016700334871855
854043.6312052632,988408.2730105263,2505.933415421579,-5.6821085423699635
854936.5259421053,987783.0098526316,2561.976545835263,-6.25368697788703
854142.841731579,987991.4309052632,2365.8255893873684,-4.264582866088196
853646.7891,988147.7466947369,2337.8040241805265,-3.7143687738476756
854837.3154157895,988356.1677473685,2505.933415421579,-5.186782032235969
854936.5259421053,988356.1677473685,2589.9981110421054,-6.589702891036235
853845.2101526316,988043.536168421,2337.8040241805265,-4.2077139651187005
854837.3154157895,988564.5888,2589.9981110421054,-5.4065491894580155
854638.8943631579,988095.641431579,2505.933415421579,-5.705128544430574
854142.841731579,987730.9045894737,2337.8040241805265,-4.298785391031898
853944.4206789475,987730.9045894737,2393.8471545942107,-5.217576626211658
854539.6838368422,987730.9045894737,2674.062806662632,-6.546691311660999
854341.2627842106,987835.1151157895,2449.890285007895,-5.839555636607525
853745.9996263159,987991.4309052632,2421.868719801053,-5.265737755087634
854936.5259421053,987939.3256421053,2449.890285007895,-4.955648275169957
854539.6838368422,987835.1151157895,2646.0412414557895,-6.885054335026094
855035.7364684211,987887.2203789474,2646.0412414557895,-6.482898451149215
854638.8943631579,988356.1677473685,2589.9981110421054,-6.7280448887434705
854936.5259421053,987887.2203789474,2646.0412414557895,-7.204798528965805
854837.3154157895,987783.0098526316,2477.911850214737,-5.679046799132634
854837.3154157895,988251.9572210526,2505.933415421579,-5.45979778394764
854638.8943631579,987574.5888,2477.911850214737,-5.063854055789466
854242.0522578948,987574.5888,2421.868719801053,-4.673478938572247
854837.3154157895,987626.6940631579,2561.976545835263,-5.7730502205819505
854738.1048894738,988095.641431579,2533.9549806284213,-6.063569877279855
854142.841731579,988147.7466947369,2421.868719801053,-5.644742535882121
854936.5259421053,987887.2203789474,2449.890285007895,-5.095346048533224
854341.2627842106,988564.5888,2561.976545835263,-5.588346804601183
855134.9469947369,988356.1677473685,2618.0196762489477,-6.489845145222093
855035.7364684211,988095.641431579,2674.062806662632,-7.091818827694882
854242.0522578948,987730.9045894737,2449.890285007895,-5.610785487047157
854242.0522578948,987887.2203789474,2561.976545835263,-6.39478962613125
854341.2627842106,988043.536168421,2589.9981110421054,-6.694997935181503
854738.1048894738,987574.5888,2421.868719801053,-4.5247550042577505
854341.2627842106,988460.3782736842,2505.933415421579,-5.503270757315643
854837.3154157895,988095.641431579,2477.911850214737,-5.247836290747104
854837.3154157895,987991.4309052632,2589.9981110421054,-6.513579397265835
853845.2101526316,988512.4835368422,2449.890285007895,-5.060456707123716
853944.4206789475,988304.0624842106,2449.890285007895,-6.159151014932975
854440.4733105263,988043.536168421,2618.0196762489477,-6.9689866057588326
854638.8943631579,987939.3256421053,2758.127502283158,-6.540091746535377
854341.2627842106,987939.3256421053,2533.9549806284213,-6.30742645311627
854043.6312052632,987730.9045894737,2365.8255893873684,-4.894403103905507
854341.2627842106,987939.3256421053,2758.127502283158,-6.7252158062136145
854837.3154157895,987887.2203789474,2618.0196762489477,-6.8742882929456535
854738.1048894738,987991.4309052632,2646.0412414557895,-6.925354192604447
853845.2101526316,987626.6940631579,2365.8255893873684,-4.360687446425227
854638.8943631579,988095.641431579,2674.062806662632,-7.146240335171078
854142.841731579,987730.9045894737,2533.9549806284213,-5.867455246607517
854638.8943631579,988043.536168421,2449.890285007895,-5.07809056384624
854837.3154157895,987991.4309052632,2505.933415421579,-5.657728765563999
855333.3680473685,987678.7993263159,2589.9981110421054,-4.108448219632586
854936.5259421053,987939.3256421053,2505.933415421579,-5.718112042366259
854242.0522578948,987626.6940631579,2533.9549806284213,-5.461804634905944
854638.8943631579,987939.3256421053,2505.933415421579,-5.948612977847415
855134.9469947369,988199.8519578947,2589.9981110421054,-6.544737263410275
854936.5259421053,987939.3256421053,2646.0412414557895,-7.153116770337816
854738.1048894738,987783.0098526316,2477.911850214737,-5.9170913155548455
853944.4206789475,987991.4309052632,2477.911850214737,-6.338445204019376
854142.841731579,987887.2203789474,2646.0412414557895,-6.431229651421661
854837.3154157895,988147.7466947369,2730.105937076316,-6.8576430918915205
854936.5259421053,988304.0624842106,2702.0843718694737,-6.559989846144326
854936.5259421053,988147.7466947369,2674.062806662632,-7.225253935467352
853944.4206789475,987678.7993263159,2421.868719801053,-5.432979782877641
854242.0522578948,987626.6940631579,2589.9981110421054,-5.775712362776014
855134.9469947369,987835.1151157895,2477.911850214737,-5.477235952226063
854837.3154157895,987730.9045894737,2646.0412414557895,-6.203990162242037
854341.2627842106,987626.6940631579,2477.911850214737,-5.342280626129782
854440.4733105263,988147.7466947369,2730.105937076316,-7.002138402956602
854242.0522578948,987678.7993263159,2365.8255893873684,-4.672797273175273
854936.5259421053,987626.6940631579,2589.9981110421054,-5.562347731921601
854738.1048894738,987887.2203789474,2702.0843718694737,-7.05685767268722
854738.1048894738,988199.8519578947,2758.127502283158,-6.772566729965819
854341.2627842106,987574.5888,2449.890285007895,-4.959562622910546
854440.4733105263,987783.0098526316,2477.911850214737,-5.83595338218328
854936.5259421053,987678.7993263159,2533.9549806284213,-5.658955984364273
855035.7364684211,987678.7993263159,2561.976545835263,-5.697083537748818
854440.4733105263,988251.9572210526,2730.105937076316,-6.845860437429897
855035.7364684211,987939.3256421053,2449.890285007895,-4.592832148633756
854638.8943631579,988251.9572210526,2505.933415421579,-5.70320915143372
854539.6838368422,987730.9045894737,2505.933415421579,-5.914633406803872
855531.7891,987991.4309052632,2533.9549806284213,-3.91054425664349
854142.841731579,987783.0098526316,2561.976545835263,-6.150305965453008
855234.1575210526,987939.3256421053,2477.911850214737,-4.613561299937906
855035.7364684211,987939.3256421053,2646.0412414557895,-6.722945091722282
854043.6312052632,987887.2203789474,2337.8040241805265,-4.071192308818822
854242.0522578948,987678.7993263159,2646.0412414557895,-6.269464008087704
854837.3154157895,988460.3782736842,2533.9549806284213,-5.454928884319536
854738.1048894738,988147.7466947369,2730.105937076316,-6.845809284519507
854142.841731579,987626.6940631579,2449.890285007895,-5.366837278657141
855234.1575210526,988460.3782736842,2533.9549806284213,-5.214313584672726
855333.3680473685,988251.9572210526,2618.0196762489477,-4.771215933199083
854539.6838368422,988043.536168421,2646.0412414557895,-6.885660671606398
854936.5259421053,987626.6940631579,2449.890285007895,-5.178164645063814
855134.9469947369,988095.641431579,2589.9981110421054,-6.8054400021331025
854837.3154157895,987939.3256421053,2561.976545835263,-6.3261898243532215
